env    region      zone   visibility   subnet
qa     us-east-2   a      public       subnet-aaaa
qa     us-east-2   a      private      subnet-bbbb
qa     us-east-2   b      public       subnet-cccc
qa     us-east-2   b      private      subnet-dddd
qa     us-east-2   c      public       subnet-eeee
qa     us-east-2   c      private      subnet-ffff
qa     eu-west-2   a      public       subnet-gggg
qa     eu-west-2   a      private      subnet-hhhh
qa     eu-west-2   b      public       subnet-iiii
qa     eu-west-2   b      private      subnet-jjjj
qa     eu-west-2   c      public       subnet-kkkk
qa     eu-west-2   c      private      subnet-llll
prod   us-east-2   a      public       subnet-mmmm
prod   us-east-2   a      private      subnet-nnnn
prod   us-east-2   b      public       subnet-oooo
prod   us-east-2   b      private      subnet-pppp
prod   us-east-2   c      public       subnet-qqqq
prod   us-east-2   c      private      subnet-rrrr
prod   eu-west-2   a      public       subnet-ssss
prod   eu-west-2   a      private      subnet-tttt
prod   eu-west-2   b      public       subnet-uuuu
prod   eu-west-2   b      private      subnet-vvvv
prod   eu-west-2   c      public       subnet-wwww
prod   eu-west-2   c      private      subnet-xxxx
